#17
Ganesh,1231231231,ganesh@gmail.com
Ram Charan,1515151515,ram15@gmail.com
Allu Arjun,9087653421,alluarjun@outlook.com
Chiranjeevi,1111111111,chiru@zoho.com
Pawan Kalyan,9191919191,pawan@gmail.com
Prabhas,1234567890,panindiastar@gmail.com
Mahesh Babu,9830508060,mahesh@gmail.com
Balakrishna,9067812354,jaibalayya@outlook.com
JR. NTR,9080706050,ntr@gmail.com
Nani,6789089032,nani@gmail.com
Anushka,1212121212,anushka@zoho.com
Vijay Devarkonda,9000000009,rowdy@zoho.com
Ram,1231231235,ram@gmail.com
Sita,1431431432,sita@gmail.com
Devaseena,9090909090,sweety@gmail.com
Mitravindha,1235674898,vindha@outlook.com
Ganesh,9090909879,brganesh@gmail.com
